timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1490005224693,94,Account,200,OK,Thread Group 2-131,text,true,,330,158,10,19,94,0,46
1490005224697,93,Discount,200,OK,Thread Group 1-155,text,true,,331,198,10,19,93,0,46
1490005224702,96,Account,200,OK,Thread Group 2-132,text,true,,330,159,10,19,96,0,47
1490005224708,101,Discount,200,OK,Thread Group 1-156,text,true,,331,199,10,19,101,0,51
1490005224715,94,Account,200,OK,Thread Group 2-133,text,true,,330,156,9,19,94,0,45
1490005224718,95,Discount,200,OK,Thread Group 1-157,text,true,,331,198,10,19,93,0,45
1490005224724,94,Account,200,OK,Thread Group 2-134,text,true,,330,158,9,18,94,0,46
1490005224727,92,Discount,200,OK,Thread Group 1-158,text,true,,331,199,9,17,92,0,44
1490005224733,93,Account,200,OK,Thread Group 2-135,text,true,,330,159,9,18,93,0,45
1490005224738,93,Discount,200,OK,Thread Group 1-159,text,true,,331,199,10,19,93,0,45
1490005224746,94,Account,200,OK,Thread Group 2-136,text,true,,330,156,9,18,94,0,45
1490005224749,94,Discount,200,OK,Thread Group 1-160,text,true,,330,200,10,19,94,0,45
1490005224756,96,Account,200,OK,Thread Group 2-137,text,true,,330,158,10,19,96,0,44
1490005224761,93,Discount,200,OK,Thread Group 1-161,text,true,,330,197,10,19,93,0,44
1490005224786,98,Account,200,OK,Thread Group 2-140,text,true,,330,158,11,22,98,0,44
1490005224779,105,Discount,200,OK,Thread Group 1-163,text,true,,331,198,11,22,105,0,46
1490005224789,95,Discount,200,OK,Thread Group 1-164,text,true,,331,199,11,22,95,0,45
1490005224777,108,Account,200,OK,Thread Group 2-139,text,true,,330,156,11,21,108,0,45
1490005224770,116,Discount,200,OK,Thread Group 1-162,text,true,,330,198,10,21,116,0,44
1490005224771,115,Account,200,OK,Thread Group 2-138,text,true,,330,159,10,19,115,0,45
1490005224798,95,Account,200,OK,Thread Group 2-141,text,true,,330,159,9,19,95,0,46
1490005224800,101,Discount,200,OK,Thread Group 1-165,text,true,,331,198,10,19,101,0,51
1490005224811,96,Account,200,OK,Thread Group 2-142,text,true,,330,156,10,20,96,0,46
1490005224811,100,Discount,200,OK,Thread Group 1-166,text,true,,331,199,10,19,100,0,46
1490005224821,114,Discount,200,OK,Thread Group 1-167,text,true,,331,199,12,23,114,0,65
1490005224831,106,Account,200,OK,Thread Group 2-144,text,true,,330,159,11,22,106,0,53
1490005224841,97,Account,200,OK,Thread Group 2-145,text,true,,330,156,10,21,96,0,47
1490005224831,114,Discount,200,OK,Thread Group 1-168,text,true,,330,200,12,22,114,0,53
1490005224821,124,Account,200,OK,Thread Group 2-143,text,true,,330,158,10,22,124,0,65
1490005224850,96,Account,200,OK,Thread Group 2-146,text,true,,330,158,9,20,96,0,46
1490005224852,95,Discount,200,OK,Thread Group 1-170,text,true,,330,198,11,19,95,0,46
1490005224842,105,Discount,200,OK,Thread Group 1-169,text,true,,330,197,11,19,105,0,45
1490005224860,95,Account,200,OK,Thread Group 2-147,text,true,,330,159,9,19,95,0,47
1490005224862,94,Discount,200,OK,Thread Group 1-171,text,true,,331,198,10,18,93,0,45
1490005224885,93,Discount,200,OK,Thread Group 1-172,text,true,,331,198,11,21,93,0,45
1490005224887,95,Account,200,OK,Thread Group 2-148,text,true,,330,158,10,20,93,0,46
1490005224885,97,Account,200,OK,Thread Group 2-149,text,true,,330,156,10,20,96,0,48
1490005224885,99,Discount,200,OK,Thread Group 1-173,text,true,,331,199,10,19,99,0,50
1490005224892,94,Discount,200,OK,Thread Group 1-174,text,true,,331,199,9,18,93,0,47
1490005224893,93,Account,200,OK,Thread Group 2-150,text,true,,330,159,9,18,93,0,45
1490005224903,93,Discount,200,OK,Thread Group 1-175,text,true,,331,199,9,18,92,0,45
1490005224904,93,Account,200,OK,Thread Group 2-151,text,true,,330,156,9,17,93,0,45
1490005224914,93,Account,200,OK,Thread Group 2-152,text,true,,330,158,9,19,93,0,44
1490005224913,94,Discount,200,OK,Thread Group 1-176,text,true,,330,200,10,19,94,0,45
1490005224925,91,Discount,200,OK,Thread Group 1-177,text,true,,330,197,9,18,91,0,43
1490005224926,92,Account,200,OK,Thread Group 2-153,text,true,,330,159,9,18,92,0,44
